DATE,INCOME
Jan-1963,17.2
Feb-1963,17.7
Mar-1963,18.2
Apr-1963,18.2
May-1963,17.5
Jun-1963,18
Jul-1963,18.4
Aug-1963,17.8
Sep-1963,17.9
Oct-1963,17.6
Nov-1963,18.4
Dec-1963,18.7
Jan-1964,17.8
Feb-1964,18
Mar-1964,19
Apr-1964,18.8
May-1964,19.3
Jun-1964,18.8
Jul-1964,19.1
Aug-1964,18.9
Sep-1964,18.9
Oct-1964,18.9
Nov-1964,19.3
Dec-1964,21
Jan-1965,20.7
Feb-1965,20.4
Mar-1965,19.8
Apr-1965,19.9
May-1965,19.6
Jun-1965,19.8
Jul-1965,21
Aug-1965,20.2
Sep-1965,19.6
Oct-1965,19.9
Nov-1965,20.6
Dec-1965,20.3
Jan-1966,21.2
Feb-1966,20.9
Mar-1966,20.8
Apr-1966,23
May-1966,22.3
Jun-1966,21.2
Jul-1966,21.8
Aug-1966,20.7
Sep-1966,22.2
Oct-1966,20.8
Nov-1966,21.7
Dec-1966,21.7
Jan-1967,22.2
Feb-1967,22.4
Mar-1967,22.4
Apr-1967,22.3
May-1967,23.7
Jun-1967,23.9
Jul-1967,23.3
Aug-1967,21.7
Sep-1967,22.8
Oct-1967,22.3
Nov-1967,23.1
Dec-1967,22.2
Jan-1968,23.4
Feb-1968,23.5
Mar-1968,24.6
Apr-1968,24.5
May-1968,25.3
Jun-1968,25.4
Jul-1968,24.6
Aug-1968,25
Sep-1968,25
Oct-1968,25.6
Nov-1968,24.6
Dec-1968,26.5
Jan-1969,24.6
Feb-1969,26
Mar-1969,26.2
Apr-1969,25.9
May-1969,26.9
Jun-1969,25.2
Jul-1969,26.8
Aug-1969,24.9
Sep-1969,26
Oct-1969,24.4
Nov-1969,24.9
Dec-1969,25.1
Jan-1970,23.6
Feb-1970,24.1
Mar-1970,24.1
Apr-1970,24.2
May-1970,25.7
Jun-1970,23.8
Jul-1970,22.9
Aug-1970,23.5
Sep-1970,22.6
Oct-1970,22.1
Nov-1970,23.5
Dec-1970,22.3
Jan-1971,23.9
