Date,Sales,Dollar,Average,Median,Listings,Inventory
1/1/1990,7741,655670441,84701,62914,93041,12
2/1/1990,6200,530013200,85486,68783,102099,15
3/1/1990,8545,727418760,85128,68783,104780,14
4/1/1990,8245,708229010,85898,68490,106347,14
5/1/1990,9309,811502766,87174,68294,106866,13
6/1/1990,9793,871341968,88976,72500,109794,13
7/1/1990,10117,898875216,88848,71424,107657,13
8/1/1990,11161,1000170693,89613,71131,104195,12
9/1/1990,8270,707093270,85501,69859,106666,12
10/1/1990,8557,691876235,80855,66925,104673,12
11/1/1990,8112,656049888,80874,62425,96440,11
12/1/1990,7294,610245216,83664,67316,91204,11
1/1/1991,5917,493744065,83445,66827,96285,11
2/1/1991,6242,491601194,78757,69175,98172,12
3/1/1991,7862,671076734,85357,69468,99905,12
4/1/1991,8554,747439966,87379,68685,100899,12
5/1/1991,10533,958734726,91022,73185,101772,12
6/1/1991,10494,953128044,90826,74261,102425,12
7/1/1991,10216,942558808,92263,75142,101933,12
8/1/1991,10556,947992136,89806,71229,96247,11
9/1/1991,8645,759463250,87850,74946,94510,11
10/1/1991,8267,718261761,86883,70251,93878,11
11/1/1991,8069,662666625,82125,69761,88745,10
12/1/1991,7434,677326608,91112,73087,83843,10
1/1/1992,5989,509981317,85153,70935,88699,10
2/1/1992,6444,595116288,92352,73870,90536,11
3/1/1992,9538,878840858,92141,75142,89819,10
4/1/1992,9473,880032227,92899,75337,96665,11
5/1/1992,9974,929985734,93241,76022,97247,11
6/1/1992,11052,1035716076,93713,74555,97290,11
7/1/1992,10802,992811820,91910,76609,97424,11
8/1/1992,10640,1010800000,95000,77000,94680,11
9/1/1992,9765,888107220,90948,76315,93259,10
10/1/1992,9004,823956040,91510,75924,90797,10
11/1/1992,8632,776862736,89998,76315,88024,10
12/1/1992,9517,873232335,91755,75924,81398,9
1/1/1993,6557,600844138,91634,73772,85543,9
2/1/1993,7341,661923288,90168,73185,87927,9
3/1/1993,8943,840168021,93947,77000,90028,10
4/1/1993,9428,909764288,96496,77489,92618,10
5/1/1993,10530,1043691480,99116,79348,92711,10
6/1/1993,12590,1291948030,102617,80424,92234,10
7/1/1993,11971,1222035593,102083,80424,91002,10
8/1/1993,12327,1217143326,98738,79641,89737,9
9/1/1993,10779,1036842789,96191,77391,87189,9
10/1/1993,10023,985140624,98288,78565,86651,9
11/1/1993,9562,951744108,99534,80130,84651,9
12/1/1993,10698,1055625150,98675,79054,78896,8
1/1/1994,7233,701608233,97001,76413,81245,8
2/1/1994,7711,757983589,98299,79054,77655,8
3/1/1994,11646,1173369438,100753,80130,80003,8
4/1/1994,11374,1143837684,100566,80228,81659,8
5/1/1994,12248,1231609888,100556,80815,84028,8
6/1/1994,13064,1347225000,103125,82576,83610,8
7/1/1994,11951,1236091930,103430,82478,84816,8
8/1/1994,12838,1347681888,104976,81402,84761,8
9/1/1994,10621,1049333558,98798,79935,82629,8
10/1/1994,9514,935530648,98332,79152,80988,8
11/1/1994,8916,883379448,99078,78565,77842,7
12/1/1994,9409,965476308,102612,79641,77311,7
1/1/1995,6593,662642651,100507,76120,80883,8
2/1/1995,7237,718757129,99317,78761,83910,8
3/1/1995,9841,984956167,100087,78663,87416,9
4/1/1995,8768,862183744,98333,78174,86048,9
5/1/1995,12004,1220014536,101634,80620,87055,9
6/1/1995,13241,1390940568,105048,84435,84846,8
7/1/1995,12624,1329244080,105295,84532,87705,9
8/1/1995,14162,1505250656,106288,84532,88589,9
9/1/1995,11056,1148176656,103851,82869,87557,9
10/1/1995,10836,1112087844,102629,81402,86075,8
11/1/1995,9984,1029290496,103094,83261,84324,8
12/1/1995,9933,1043908635,105095,83065,78985,8
1/1/1996,7779,820544478,105482,83750,84044,8
2/1/1996,9301,975833017,104917,84435,88128,8
3/1/1996,12094,1291179628,106762,85608,88969,8
4/1/1996,12687,1353791709,106707,85315,91203,8
5/1/1996,14509,1603288027,110503,86293,93955,8
6/1/1996,13782,1563981360,113480,89130,94818,8
7/1/1996,14694,1648931292,112218,88152,95291,8
8/1/1996,14459,1587395774,109786,86880,95607,8
9/1/1996,11454,1236676926,107969,85706,95404,8
10/1/1996,11316,1234711392,109112,86195,91857,8
11/1/1996,10031,1093248597,108987,86195,90332,8
12/1/1996,10834,1215271448,112172,87760,84705,7
1/1/1997,8022,889447272,110876,85706,86207,7
2/1/1997,9277,1012120700,109100,86782,88908,8
3/1/1997,11746,1323633248,112688,87663,90589,8
4/1/1997,12351,1392797568,112768,87565,92569,8
5/1/1997,14387,1670891793,116139,90402,94600,8
