Period,housing_price_index_sa
2002Q1,155.66
2002Q2,158.52
2002Q3,161.56
2002Q4,164.8
2003Q1,167.7
2003Q2,170.4
2003Q3,173.76
2003Q4,177.68
2004Q1,181.63
2004Q2,186.21
2004Q3,191
2004Q4,195.74
2005Q1,200.58
2005Q2,205.89
2005Q3,211.32
2005Q4,215.78
2006Q1,218.96
2006Q2,220.49
2006Q3,220.84
2006Q4,221.87
2007Q1,223.21
2007Q2,222.62
2007Q3,219.8
2007Q4,215.78
2008Q1,210.79
2008Q2,204.91
2008Q3,199.72
2008Q4,193.88
2009Q1,192.71
2009Q2,190.01
2009Q3,189.1
2009Q4,188.99
2010Q1,187.25
2010Q2,186.35
2010Q3,183.24
2010Q4,181.44
2011Q1,177.44
2011Q2,175.94
2011Q3,176.45
2011Q4,176.8
2012Q1,177.55
2012Q2,180.37
2012Q3,182.6
2012Q4,185.34
2013Q1,189.15
2013Q2,192.96
2013Q3,195.98
2013Q4,197.93
2014Q1,200.32
2014Q2,202.1
2014Q3,204.31
2014Q4,206.96
2015Q1,209.81
2015Q2,212.47
2015Q3,215.1
2015Q4,218.17
2016Q1,220.9
2016Q2,224.1
2016Q3,227.44
2016Q4,231
2017Q1,234
2017Q2,238.04
2017Q3,241.69
2017Q4,245.3
2018Q1,249.93
2018Q2,252.84
2018Q3,256.14
2018Q4,259.03
2019Q1,262.15
2019Q2,265.19
2019Q3,268.72
2019Q4,273.25
2020Q1,278.55
2020Q2,280.19
2020Q3,290.78
2020Q4,303.89
2021Q1,314.9
2021Q2,328.98
2021Q3,344.35
2021Q4,357.89
2022Q1,373.82
2022Q2,386.02
2022Q3,386.51
2022Q4,388.03
2023Q1,391.07
2023Q2,397.66
