cbsa,metro_name,yr,qtr,index_nsa,index_sa
10420,"Akron, OH",1991,1,100,100
10420,"Akron, OH",1991,2,102.35,101.07
10420,"Akron, OH",1991,3,102.2,101.43
10420,"Akron, OH",1991,4,103.08,103.1
10420,"Akron, OH",1992,1,104.52,104.5
10420,"Akron, OH",1992,2,106.8,105.49
10420,"Akron, OH",1992,3,108.26,107.41
10420,"Akron, OH",1992,4,108.68,108.76
10420,"Akron, OH",1993,1,110.1,110
10420,"Akron, OH",1993,2,112.6,111.31
10420,"Akron, OH",1993,3,113.73,112.76
10420,"Akron, OH",1993,4,114.24,114.42
10420,"Akron, OH",1994,1,114.45,114.21
10420,"Akron, OH",1994,2,119.49,118.25
10420,"Akron, OH",1994,3,120.04,118.96
10420,"Akron, OH",1994,4,119.75,119.95
10420,"Akron, OH",1995,1,122.13,121.8
10420,"Akron, OH",1995,2,123.86,122.68
10420,"Akron, OH",1995,3,125.32,124.17
10420,"Akron, OH",1995,4,124.71,124.88
10420,"Akron, OH",1996,1,128.64,128.26
10420,"Akron, OH",1996,2,128.83,127.66
10420,"Akron, OH",1996,3,132.2,131.06
10420,"Akron, OH",1996,4,131.26,131.27
10420,"Akron, OH",1997,1,132.07,131.77
10420,"Akron, OH",1997,2,133.01,131.83
10420,"Akron, OH",1997,3,133.89,132.77
10420,"Akron, OH",1997,4,135.98,135.78
10420,"Akron, OH",1998,1,136.45,136.34
10420,"Akron, OH",1998,2,139.62,138.32
10420,"Akron, OH",1998,3,140.05,138.95
10420,"Akron, OH",1998,4,140.57,140.11
10420,"Akron, OH",1999,1,143.02,143.25
10420,"Akron, OH",1999,2,145.86,144.35
10420,"Akron, OH",1999,3,146.38,145.24
10420,"Akron, OH",1999,4,147.58,147
10420,"Akron, OH",2000,1,146.03,146.46
10420,"Akron, OH",2000,2,150.31,148.66
10420,"Akron, OH",2000,3,152.11,150.87
10420,"Akron, OH",2000,4,152.3,151.72
10420,"Akron, OH",2001,1,152.09,152.59
10420,"Akron, OH",2001,2,156.53,154.85
10420,"Akron, OH",2001,3,155.66,154.22
10420,"Akron, OH",2001,4,159.25,158.83
10420,"Akron, OH",2002,1,156.65,157.06
10420,"Akron, OH",2002,2,159.94,158.27
10420,"Akron, OH",2002,3,160.39,158.79
10420,"Akron, OH",2002,4,161.17,160.93
10420,"Akron, OH",2003,1,162.69,163.02
10420,"Akron, OH",2003,2,165.04,163.33
10420,"Akron, OH",2003,3,167.35,165.54
10420,"Akron, OH",2003,4,165.84,165.82
10420,"Akron, OH",2004,1,167,167.27
10420,"Akron, OH",2004,2,168.1,166.33
10420,"Akron, OH",2004,3,169.72,167.76
10420,"Akron, OH",2004,4,168.79,168.94
10420,"Akron, OH",2005,1,170.53,170.88
10420,"Akron, OH",2005,2,174.98,173.09
10420,"Akron, OH",2005,3,174.42,172.18
10420,"Akron, OH",2005,4,170.95,171.1
10420,"Akron, OH",2006,1,176.02,176.85
10420,"Akron, OH",2006,2,175.17,173.01
10420,"Akron, OH",2006,3,175.92,173.54
10420,"Akron, OH",2006,4,172.55,172.44
10420,"Akron, OH",2007,1,171.09,172.65
10420,"Akron, OH",2007,2,173.57,171.06
10420,"Akron, OH",2007,3,170.88,168.57
10420,"Akron, OH",2007,4,166.41,165.81
10420,"Akron, OH",2008,1,164.1,166.43
10420,"Akron, OH",2008,2,163.59,160.93
10420,"Akron, OH",2008,3,160.2,158.05
10420,"Akron, OH",2008,4,153.32,152.38
10420,"Akron, OH",2009,1,145.46,148.07
10420,"Akron, OH",2009,2,154.64,151.89
10420,"Akron, OH",2009,3,155.24,153.31
10420,"Akron, OH",2009,4,156.39,155.12
10420,"Akron, OH",2010,1,148.37,151.22
10420,"Akron, OH",2010,2,155.14,152.32
10420,"Akron, OH",2010,3,150.08,148.38
10420,"Akron, OH",2010,4,150.06,148.77
10420,"Akron, OH",2011,1,142.12,144.69
10420,"Akron, OH",2011,2,143.86,141.29
10420,"Akron, OH",2011,3,145.52,144
10420,"Akron, OH",2011,4,141,139.97
10420,"Akron, OH",2012,1,138.87,140.89
10420,"Akron, OH",2012,2,146.94,144.52
10420,"Akron, OH",2012,3,145.12,143.57
10420,"Akron, OH",2012,4,151.29,150.59
10420,"Akron, OH",2013,1,154.39,156.12
10420,"Akron, OH",2013,2,154.88,152.38
10420,"Akron, OH",2013,3,155.56,153.93
10420,"Akron, OH",2013,4,153.98,153.68
10420,"Akron, OH",2014,1,151.88,153.1
10420,"Akron, OH",2014,2,156.57,154.14
10420,"Akron, OH",2014,3,159.39,157.7
10420,"Akron, OH",2014,4,155.51,155.42
10420,"Akron, OH",2015,1,157.05,158.16
10420,"Akron, OH",2015,2,163.81,161.24
10420,"Akron, OH",2015,3,162.66,160.87
10420,"Akron, OH",2015,4,165.81,165.87
10420,"Akron, OH",2016,1,161.93,163.02
10420,"Akron, OH",2016,2,171.26,168.62
10420,"Akron, OH",2016,3,170.06,168.03
10420,"Akron, OH",2016,4,169.08,169.2
10420,"Akron, OH",2017,1,171.83,173.06
10420,"Akron, OH",2017,2,176.39,173.7
10420,"Akron, OH",2017,3,179.73,177.42
10420,"Akron, OH",2017,4,181.12,181.35
10420,"Akron, OH",2018,1,181.77,183.03
10420,"Akron, OH",2018,2,187.1,184.46
10420,"Akron, OH",2018,3,190.37,187.64
10420,"Akron, OH",2018,4,188.64,189.01
10420,"Akron, OH",2019,1,188.38,189.65
10420,"Akron, OH",2019,2,198.44,195.92
10420,"Akron, OH",2019,3,200.3,196.96
10420,"Akron, OH",2019,4,198.73,199.37
10420,"Akron, OH",2020,1,202.81,204.21
10420,"Akron, OH",2020,2,209.71,207.14
