Period,Total ," <$125,000 "," $125,000 - $149,999  "," $149,999  - $199,999 "," $199,999 - $249,999 ","  $249,999 - $299,999 "," $299,999 - $399,999  "," $399,999 - $499,999  "," $499,999 - $749,999  ",">$749,999 "
2002Q1 ,100,17,13,25,15,11,10,4,3,1
2002Q2 ,100,16,15,24,14,11,12,4,3,1
2002Q3 ,100,18,15,26,14,10,10,5,3,1
2002Q4 ,100,15,15,24,13,11,11,6,3,1
2003Q1 ,100,15,16,24,13,10,12,4,4,1
2003Q2 ,100,15,15,25,14,9,12,5,4,2
2003Q3 ,100,14,13,25,13,10,12,5,5,2
2003Q4 ,100,14,12,24,13,10,14,6,5,2
2004Q1 ,100,12,12,21,16,11,14,7,5,2
2004Q2 ,100,13,11,21,15,11,13,7,6,2
2004Q3 ,100,11,13,22,14,9,12,8,7,3
2004Q4 ,100,10,10,21,16,11,14,8,8,3
2005Q1 ,100,9,10,20,16,11,14,9,8,3
2005Q2 ,100,9,9,21,16,12,15,8,7,3
2005Q3 ,100,9,10,21,14,11,17,8,8,4
2005Q4 ,100,7,11,17,17,13,16,8,8,3
2006Q1 ,100,6,9,20,15,14,16,8,7,4
2006Q2 ,100,6,10,20,15,13,17,7,8,4
2006Q3 ,100,6,10,22,16,11,14,8,8,5
2006Q4 ,100,7,9,19,15,13,17,8,8,4
2007Q1 ,100,5,8,20,16,14,17,9,8,4
2007Q2 ,100,5,9,22,16,13,15,8,8,4
2007Q3 ,100,5,10,20,17,14,14,8,8,4
2007Q4 ,100,5,10,23,16,11,16,9,7,3
2008Q1 ,100,6,9,21,19,14,14,7,6,3
2008Q2 ,100,6,9,21,17,13,15,7,7,5
2008Q3 ,100,8,10,22,18,12,13,8,6,3
2008Q4 ,100,7,10,23,18,13,13,7,5,3
2009Q1 ,100,7,12,26,17,13,12,6,4,2
2009Q2 ,100,6,10,25,18,13,13,7,5,2
2009Q3 ,100,6,12,27,17,12,11,6,6,2
2009Q4 ,100,8,11,24,19,13,12,5,5,4
2010Q1 ,100,7,13,23,16,15,13,6,6,3
2010Q2 ,100,6,11,26,17,12,14,6,5,2
2010Q3 ,100,6,10,26,18,15,12,6,5,2
2010Q4 ,100,5,12,25,15,11,15,7,6,3
2011Q1 ,100,6,10,22,20,12,16,7,6,1
2011Q2 ,100,5,10,23,19,14,15,7,5,2
2011Q3 ,100,6,11,23,20,13,15,5,5,2
2011Q4 ,100,8,10,23,20,13,14,6,5,2
2012Q1 ,100,6,9,20,19,15,16,8,5,2
2012Q2 ,100,5,9,21,19,13,16,8,5,3
2012Q3 ,100,4,7,20,18,14,17,10,7,2
2012Q4 ,100,3,8,19,18,14,19,9,7,2
2013Q1 ,100,3,8,18,18,16,18,8,7,3
2013Q2 ,100,2,5,17,18,16,21,10,8,3
2013Q3 ,100,2,7,20,16,15,19,9,8,5
2013Q4 ,100,2,4,20,16,15,20,10,9,4
2014Q1 ,100,2,5,17,17,15,21,11,7,4
2014Q2 ,100,2,4,17,16,15,21,11,11,4
2014Q3 ,100,3,4,16,15,16,20,11,9,5
2014Q4 ,100,2,3,15,15,16,22,12,10,6
2015Q1 ,100,1,3,15,18,17,20,12,10,4
2015Q2 ,100,2,3,16,16,18,21,12,10,3
2015Q3 ,100,2,3,15,16,15,22,13,9,4
2015Q4 ,100,2,2,12,17,16,20,14,11,6
2016Q1 ,100,1,3,13,14,18,22,14,11,4
2016Q2 ,100,1,2,14,15,16,24,13,11,4
2016Q3 ,100,1,3,13,15,16,24,13,10,4
2016Q4 ,100,1,2,13,16,15,24,14,12,4
2017Q1 ,100,1,3,11,15,16,23,14,13,5
2017Q2 ,100,1,2,10,17,16,24,14,12,5
2017Q3 ,100,1,2,11,15,14,25,15,12,5
2017Q4 ,100,1,2,8,15,15,25,14,14,6
2018Q1 ,100,1,2,9,14,15,26,15,13,4
2018Q2 ,100,1,2,11,14,18,23,13,12,6
2018Q3 ,100,1,1,8,16,15,25,15,12,7
2018Q4 ,100,1,2,8,16,16,25,14,12,5
2019Q1 ,100,1,2,8,18,17,25,14,12,4
2019Q2 ,100,1,1,8,17,16,26,14,12,5
2019Q3 ,100,(Z),1,8,17,17,24,13,13,5
2019Q4 ,100,(Z),1,7,16,17,25,14,14,5
2020Q1 ,100,1,1,8,17,15,26,15,12,5
2020Q2 ,100,1,1,8,15,17,27,16,11,4
2020Q3 ,100,(Z),(Z),6,14,19,29,14,12,6
2020Q4 ,100,(Z),(Z),4,11,16,30,20,13,5
2021Q1 ,100,(Z),(Z),3,11,16,28,19,17,6
2021Q2 ,100,(Z),(Z),1,8,15,30,18,20,7
2021Q3 ,100,(Z),(Z),1,6,15,24,22,21,10
2021Q4 ,100,(Z),(Z),1,4,10,28,22,23,11
2022Q1 ,100,(Z),(Z),1,3,9,31,19,27,11
2022Q2 ,100,(Z),(Z),1,2,7,28,22,27,13
2022Q3 ,100,(Z),(Z),(Z),2,6,26,21,29,15
2022Q4 ,100,(Z),(Z),1,2,7,26,19,30,15
2023Q1 ,100,(Z),(Z),1,4,9,30,19,26,11
2023Q2 ,100,(Z),(Z),1,5,8,30,20,23,13
2023Q3 ,100,(Z),(Z),(Z),4,9,27,22,24,12
