Period,Total,Price Band,percentage
2002Q1 ,100,"<$125,000",17
2002Q2 ,100,"<$125,000",16
2002Q3 ,100,"<$125,000",18
2002Q4 ,100,"<$125,000",15
2003Q1 ,100,"<$125,000",15
2003Q2 ,100,"<$125,000",15
2003Q3 ,100,"<$125,000",14
2003Q4 ,100,"<$125,000",14
2004Q1 ,100,"<$125,000",12
2004Q2 ,100,"<$125,000",13
2004Q3 ,100,"<$125,000",11
2004Q4 ,100,"<$125,000",10
2005Q1 ,100,"<$125,000",9
2005Q2 ,100,"<$125,000",9
2005Q3 ,100,"<$125,000",9
2005Q4 ,100,"<$125,000",7
2006Q1 ,100,"<$125,000",6
2006Q2 ,100,"<$125,000",6
2006Q3 ,100,"<$125,000",6
2006Q4 ,100,"<$125,000",7
2007Q1 ,100,"<$125,000",5
2007Q2 ,100,"<$125,000",5
2007Q3 ,100,"<$125,000",5
2007Q4 ,100,"<$125,000",5
2008Q1 ,100,"<$125,000",6
2008Q2 ,100,"<$125,000",6
2008Q3 ,100,"<$125,000",8
2008Q4 ,100,"<$125,000",7
2009Q1 ,100,"<$125,000",7
2009Q2 ,100,"<$125,000",6
2009Q3 ,100,"<$125,000",6
2009Q4 ,100,"<$125,000",8
2010Q1 ,100,"<$125,000",7
2010Q2 ,100,"<$125,000",6
2010Q3 ,100,"<$125,000",6
2010Q4 ,100,"<$125,000",5
2011Q1 ,100,"<$125,000",6
2011Q2 ,100,"<$125,000",5
2011Q3 ,100,"<$125,000",6
2011Q4 ,100,"<$125,000",8
2012Q1 ,100,"<$125,000",6
2012Q2 ,100,"<$125,000",5
2012Q3 ,100,"<$125,000",4
2012Q4 ,100,"<$125,000",3
2013Q1 ,100,"<$125,000",3
2013Q2 ,100,"<$125,000",2
2013Q3 ,100,"<$125,000",2
2013Q4 ,100,"<$125,000",2
2014Q1 ,100,"<$125,000",2
2014Q2 ,100,"<$125,000",2
2014Q3 ,100,"<$125,000",3
2014Q4 ,100,"<$125,000",2
2015Q1 ,100,"<$125,000",1
2015Q2 ,100,"<$125,000",2
2015Q3 ,100,"<$125,000",2
2015Q4 ,100,"<$125,000",2
2016Q1 ,100,"<$125,000",1
2016Q2 ,100,"<$125,000",1
2016Q3 ,100,"<$125,000",1
