Period,Total ," <$125,000 "," $125,000 - $149,999  "," $149,999  - $199,999 "," $199,999 - $249,999 ","  $249,999 - $299,999 "," $299,999 - $399,999  "," $399,999 - $499,999  "," $499,999 - $749,999  ",">$749,999 "
2002Q1 ,239,41,31,59,36,27,25,10,8,3
2002Q2 ,259,41,38,63,36,28,30,12,8,3
2002Q3 ,255,46,38,65,36,24,24,12,6,3
2002Q4 ,220,32,34,53,29,25,25,13,7,3
2003Q1 ,256,38,40,61,34,27,31,11,11,3
2003Q2 ,298,43,43,73,41,28,37,14,13,5
2003Q3 ,293,42,38,74,39,29,36,16,13,5
2003Q4 ,239,33,28,57,31,25,34,14,12,5
2004Q1 ,314,39,39,66,49,34,44,20,17,7
2004Q2 ,329,41,36,70,50,38,44,22,20,7
2004Q3 ,292,33,37,64,42,27,36,25,19,9
2004Q4 ,268,27,27,56,43,29,37,21,20,8
2005Q1 ,328,31,34,66,51,35,47,29,25,9
2005Q2 ,351,31,32,73,55,42,54,29,25,11
2005Q3 ,326,28,33,67,45,37,55,25,25,11
2005Q4 ,277,21,30,47,47,35,45,23,21,8
2006Q1 ,285,18,26,57,42,39,46,23,21,12
2006Q2 ,300,19,29,60,45,40,50,22,23,11
2006Q3 ,250,15,26,55,40,28,35,20,19,12
2006Q4 ,216,15,20,41,33,28,37,18,17,8
2007Q1 ,213,10,17,42,33,30,36,19,17,9
2007Q2 ,235,12,21,52,37,30,36,19,18,10
2007Q3 ,181,9,18,37,31,26,25,14,14,7
2007Q4 ,146,8,14,33,24,16,23,13,11,5
2008Q1 ,141,9,13,29,27,20,20,10,9,5
2008Q2 ,143,8,13,30,25,19,21,9,10,6
2008Q3 ,116,9,12,26,20,13,15,10,7,4
2008Q4 ,85,6,8,20,15,11,11,6,4,3
2009Q1 ,84,6,10,22,15,11,10,5,4,2
2009Q2 ,104,6,11,26,18,13,14,7,5,2
2009Q3 ,104,7,12,28,17,13,12,6,7,3
2009Q4 ,83,7,9,20,16,11,10,4,4,3
2010Q1 ,86,6,11,20,14,13,11,5,5,2
2010Q2 ,95,6,11,24,16,12,13,6,5,2
2010Q3 ,75,4,7,19,13,11,9,4,4,2
2010Q4 ,66,3,8,16,10,8,10,5,4,2
2011Q1 ,71,4,7,15,14,8,12,5,4,1
2011Q2 ,87,4,9,20,17,12,13,6,4,1
2011Q3 ,76,5,8,17,15,10,11,4,4,2
2011Q4 ,72,6,7,17,14,9,10,4,3,1
2012Q1 ,87,5,8,17,17,13,14,7,4,2
2012Q2 ,103,5,9,22,20,14,16,8,5,3
2012Q3 ,94,4,6,19,17,13,16,10,6,2
2012Q4 ,84,3,7,16,15,12,16,7,6,2
2013Q1 ,109,3,8,20,20,18,20,9,8,3
2013Q2 ,127,3,6,22,23,21,26,12,10,4
2013Q3 ,95,2,6,19,15,14,18,9,7,4
2013Q4 ,98,2,4,19,16,15,19,10,8,4
2014Q1 ,106,2,5,18,18,16,22,12,8,5
2014Q2 ,120,2,5,20,19,18,25,14,13,4
2014Q3 ,107,4,4,18,16,18,21,12,10,5
2014Q4 ,104,2,4,15,15,16,22,12,11,6
2015Q1 ,131,1,4,20,23,22,26,16,13,6
2015Q2 ,140,2,4,22,22,25,30,17,14,5
2015Q3 ,119,2,4,18,18,18,27,15,11,5
2015Q4 ,112,2,3,13,20,18,22,16,12,6
2016Q1 ,134,2,4,18,19,25,30,18,14,5
2016Q2 ,158,1,4,23,23,25,38,21,18,6
2016Q3 ,144,1,4,19,22,23,35,19,15,6
2016Q4 ,125,1,3,16,19,18,31,18,14,6
2017Q1 ,156,1,5,17,24,24,36,22,20,7
2017Q2 ,170,1,3,16,29,27,40,25,20,8
2017Q3 ,142,1,3,16,21,20,36,21,17,7
2017Q4 ,144,1,2,12,22,21,36,21,20,9
2018Q1 ,168,1,4,15,23,26,44,25,22,7
2018Q2 ,179,2,3,20,25,31,41,23,22,11
2018Q3 ,145,2,2,11,23,22,37,22,18,10
2018Q4 ,126,2,3,10,20,20,32,18,15,6
2019Q1 ,174,1,4,13,31,29,43,25,21,7
2019Q2 ,186,1,3,14,32,29,49,27,23,9
2019Q3 ,168,1,2,14,29,28,41,22,22,9
2019Q4 ,154,1,2,11,25,26,39,21,22,8
2020Q1 ,181,1,2,14,30,27,47,27,23,9
2020Q2 ,196,1,2,16,30,33,52,31,22,8
2020Q3 ,243,(Z),1,13,33,46,72,34,30,14
2020Q4 ,202,(Z),(Z),9,23,33,61,39,27,9
2021Q1 ,229,1,1,7,26,36,63,44,38,14
2021Q2 ,200,(Z),1,2,17,30,60,36,40,15
2021Q3 ,175,(Z),(Z),1,11,26,42,39,38,17
2021Q4 ,166,1,(Z),1,7,17,47,37,38,19
2022Q1 ,209,(Z),(Z),1,7,18,64,39,56,23
2022Q2 ,161,(Z),(Z),1,3,12,46,36,44,20
2022Q3 ,139,(Z),(Z),1,3,8,37,30,40,21
2022Q4 ,131,(Z),(Z),1,3,9,34,25,40,20
2023Q1 ,174,(Z),(Z),1,8,16,52,32,45,20
2023Q2 ,184,(Z),(Z),1,9,16,55,38,42,23
2023Q3 ,174,(Z),(Z),1,7,16,47,39,42,21
