Period,Total,Price Band,units
2002Q1 ,239,"<$125,000",41
2002Q2 ,259,"<$125,000",41
2002Q3 ,255,"<$125,000",46
2002Q4 ,220,"<$125,000",32
2003Q1 ,256,"<$125,000",38
2003Q2 ,298,"<$125,000",43
2003Q3 ,293,"<$125,000",42
2003Q4 ,239,"<$125,000",33
2004Q1 ,314,"<$125,000",39
2004Q2 ,329,"<$125,000",41
2004Q3 ,292,"<$125,000",33
2004Q4 ,268,"<$125,000",27
2005Q1 ,328,"<$125,000",31
2005Q2 ,351,"<$125,000",31
2005Q3 ,326,"<$125,000",28
2005Q4 ,277,"<$125,000",21
2006Q1 ,285,"<$125,000",18
2006Q2 ,300,"<$125,000",19
2006Q3 ,250,"<$125,000",15
2006Q4 ,216,"<$125,000",15
2007Q1 ,213,"<$125,000",10
2007Q2 ,235,"<$125,000",12
2007Q3 ,181,"<$125,000",9
2007Q4 ,146,"<$125,000",8
2008Q1 ,141,"<$125,000",9
2008Q2 ,143,"<$125,000",8
2008Q3 ,116,"<$125,000",9
2008Q4 ,85,"<$125,000",6
2009Q1 ,84,"<$125,000",6
2009Q2 ,104,"<$125,000",6
2009Q3 ,104,"<$125,000",7
2009Q4 ,83,"<$125,000",7
2010Q1 ,86,"<$125,000",6
2010Q2 ,95,"<$125,000",6
2010Q3 ,75,"<$125,000",4
2010Q4 ,66,"<$125,000",3
2011Q1 ,71,"<$125,000",4
2011Q2 ,87,"<$125,000",4
2011Q3 ,76,"<$125,000",5
2011Q4 ,72,"<$125,000",6
2012Q1 ,87,"<$125,000",5
2012Q2 ,103,"<$125,000",5
2012Q3 ,94,"<$125,000",4
2012Q4 ,84,"<$125,000",3
2013Q1 ,109,"<$125,000",3
2013Q2 ,127,"<$125,000",3
2013Q3 ,95,"<$125,000",2
2013Q4 ,98,"<$125,000",2
2014Q1 ,106,"<$125,000",2
2014Q2 ,120,"<$125,000",2
2014Q3 ,107,"<$125,000",4
2014Q4 ,104,"<$125,000",2
2015Q1 ,131,"<$125,000",1
2015Q2 ,140,"<$125,000",2
2015Q3 ,119,"<$125,000",2
2015Q4 ,112,"<$125,000",2
2016Q1 ,134,"<$125,000",2
2016Q2 ,158,"<$125,000",1
2016Q3 ,144,"<$125,000",1
2016Q4 ,125,"<$125,000",1
2017Q1 ,156,"<$125,000",1
2017Q2 ,170,"<$125,000",1
2017Q3 ,142,"<$125,000",1
2017Q4 ,144,"<$125,000",1
2018Q1 ,168,"<$125,000",1
2018Q2 ,179,"<$125,000",2
2018Q3 ,145,"<$125,000",2
2018Q4 ,126,"<$125,000",2
2019Q1 ,174,"<$125,000",1
2019Q2 ,186,"<$125,000",1
2019Q3 ,168,"<$125,000",1
2019Q4 ,154,"<$125,000",1
2020Q1 ,181,"<$125,000",1
2020Q2 ,196,"<$125,000",1
2020Q3 ,243,"<$125,000",(Z)
2020Q4 ,202,"<$125,000",(Z)
2021Q1 ,229,"<$125,000",1
2021Q2 ,200,"<$125,000",(Z)
2021Q3 ,175,"<$125,000",(Z)
2021Q4 ,166,"<$125,000",1
2022Q1 ,209,"<$125,000",(Z)
2022Q2 ,161,"<$125,000",(Z)
2022Q3 ,139,"<$125,000",(Z)
2022Q4 ,131,"<$125,000",(Z)
2023Q1 ,174,"<$125,000",(Z)
2023Q2 ,184,"<$125,000",(Z)
2023Q3 ,174,"<$125,000",(Z)
2002Q1 ,239,"$125,000 - $149,999",31
2002Q2 ,259,"$125,000 - $149,999",38
2002Q3 ,255,"$125,000 - $149,999",38
2002Q4 ,220,"$125,000 - $149,999",34
2003Q1 ,256,"$125,000 - $149,999",40
2003Q2 ,298,"$125,000 - $149,999",43
2003Q3 ,293,"$125,000 - $149,999",38
2003Q4 ,239,"$125,000 - $149,999",28
2004Q1 ,314,"$125,000 - $149,999",39
2004Q2 ,329,"$125,000 - $149,999",36
2004Q3 ,292,"$125,000 - $149,999",37
2004Q4 ,268,"$125,000 - $149,999",27
2005Q1 ,328,"$125,000 - $149,999",34
2005Q2 ,351,"$125,000 - $149,999",32
2005Q3 ,326,"$125,000 - $149,999",33
2005Q4 ,277,"$125,000 - $149,999",30
2006Q1 ,285,"$125,000 - $149,999",26
2006Q2 ,300,"$125,000 - $149,999",29
2006Q3 ,250,"$125,000 - $149,999",26
2006Q4 ,216,"$125,000 - $149,999",20
2007Q1 ,213,"$125,000 - $149,999",17
2007Q2 ,235,"$125,000 - $149,999",21
2007Q3 ,181,"$125,000 - $149,999",18
2007Q4 ,146,"$125,000 - $149,999",14
2008Q1 ,141,"$125,000 - $149,999",13
2008Q2 ,143,"$125,000 - $149,999",13
2008Q3 ,116,"$125,000 - $149,999",12
2008Q4 ,85,"$125,000 - $149,999",8
2009Q1 ,84,"$125,000 - $149,999",10
2009Q2 ,104,"$125,000 - $149,999",11
2009Q3 ,104,"$125,000 - $149,999",12
2009Q4 ,83,"$125,000 - $149,999",9
2010Q1 ,86,"$125,000 - $149,999",11
2010Q2 ,95,"$125,000 - $149,999",11
