month_date_yyyymm,state,state_code,median_listing_price,average_listing_price
202311,West Virginia,WV,236500,313349
202311,Florida,FL,462623,934764
202311,Massachusetts,MA,749450,1373758
202311,Oklahoma,OK,299000,394178
202311,Alabama,AL,325000,436309
202311,South Dakota,SD,364750,490579
202311,Louisiana,LA,279000,371403
202311,Georgia,GA,393450,555247
202311,Washington,WA,627475,870057
202311,Wisconsin,WI,355950,457878
202311,Michigan,MI,269900,399588
202311,Kentucky,KY,299000,371106
202311,Maine,ME,429000,657937
202311,Minnesota,MN,378950,494005
202311,Delaware,DE,489900,625233
202311,South Carolina,SC,359450,554546
202311,Iowa,IA,286154,342125
202311,Nebraska,NE,343750,402970
202311,Kansas,KS,289987,389177
202311,New Mexico,NM,385975,597442
202311,Ohio,OH,250000,344993
202311,Tennessee,TN,439000,641152
202311,District of Columbia,DC,649000,1022862
202311,Pennsylvania,PA,289514,430938
202311,New Jersey,NJ,529450,838859
202311,Virginia,VA,430373,629712
202311,Idaho,ID,560475,869910
202311,North Carolina,NC,402500,588219
202311,Indiana,IN,280000,357421
202311,Hawaii,HI,849500,1611788
202311,Mississippi,MS,275950,336589
202311,Vermont,VT,483563,810012
202311,Arkansas,AR,299000,387772
202311,Texas,TX,370000,533757
202311,New Hampshire,NH,549900,768575
202311,Connecticut,CT,499000,1059545
202311,Illinois,IL,304500,464888
202311,Oregon,OR,550000,740959
202311,Arizona,AZ,493495,785693
202311,California,CA,749500,1518578
202311,Alaska,AK,389725,466177
202311,Wyoming,WY,442450,957926
202311,Maryland,MD,414950,574342
202311,Missouri,MO,289900,385310
202311,Utah,UT,597000,959512
202311,Rhode Island,RI,518500,945784
202311,New York,NY,632500,1501073
202311,Colorado,CO,599000,1133171
202311,North Dakota,ND,329100,375877
202311,Nevada,NV,487450,883599
202311,Montana,MT,624950,1161487
